Copyright © 2007 Nokia. All rights reserved.
This document is confidential information of Nokia.
Nokia operates a policy of continuous development.
The information which this document contains reflects our understanding at the time when presented.
Nokia reserves the right to revise this document or withdraw it at any time
without prior notice and states no obligation to update the data included in this document.
The contents of this document are provided "AS IS". 
Name,Description,RequirementID,Runtime variation name,Runtime variation ID
RD_REMOVE_SAE,"Flag is used to remove SAE component.",,,
RD_RIHC_CHANGE,"""This flag controls the """"Rest of inc hierachy change"""". """,,,
RD_S60_IMAGE_EDITOR,"Defines whether Image Editor application is supported in the platform.","101-27864: Platformization of Image and Video Editor applications",,
RD_S60_MANUAL_VIDEO_EDITOR,"Defines whether Manual Video Editor application is supported in the platform.","101-27864: Platformization of Image and Video Editor applications",,
RD_S60_SIGNATURE_CONNECTOR,"All signature connector development is done behind this R&D feature flag.","107-15593: Accessory selection dialog for cases when accessory connected to AV-Connector is not detected",RdS60SignatureConnectorId,
RD_S60_SIMPLE_VIDEO_EDITOR,"Defines whether Simple Video Editor application is supported in the platform.","101-27864: Platformization of Image and Video Editor applications",,
RD_SAT_REL4_FEAT,"R&D flag that enables SAT Server and SAT UI support 3GPP/ETSI specification Release 4 new features",,,
RD_SA_TO_PUBSUB_CHANGE,"""To incorporate """"System Agent migration to Publish and Subscribe""""""",,,
RD_SCALABLE_UI,"""Because 2.8 feature (scalable UI) is implemented in 2.common CCB,we need a temporary feature flag that can be used where needed in code to flag scalable UI implementation out of 2.6 builds.-> to avoid ROM hit in 2.6 and regression in code maturity.""","REQ 107-138",,
RD_SCALABLE_UI_V2,"R&D Flag to remove Scale II (Pen and Touch) support from other than S60 4.0 builds. This flag is used during new feature development, to isolate affected code from those releases that don't need to support Scale II features (< 5.0). It is NOT used for feature variation, i.e. enable/disable touch feature.",,,
RD_SCREENSAVERAIWPLUGIN,"Feature enables early development of  screensaveraiwplugin that is an AIW provider for setting images as animated or slide set screen saver.","106-1139: AIW provider for setting Screen Saver",,
RD_SCREENSAVER_GIFANIMATION,"This R&D flag is needed for safely incorporating Gif animation support for screensaver Animation Plugin",,,
RD_SD_TO_CENREP_CHANGE,"""This R&d flag is needed for incorporating """"Shared data migration to Central Repository"""" changes controlled way into Series 60 releases.The flag is required for Av.3.0 requirement:   REQ 107-138: Migration to Central Repository ()  that will be done in I9 timeframe. ""","REQ 107-138",,
RD_SECON_METADATA,"Device supports file metadata requests over ConML protocol.","403-78: ConML enhancements for file metadata",,
RD_SECURE_BIN_RES,"Flag is used variate the Increment 9 changes: i.e. relocation of binaries and resource files. We need these for 3.0 PF- security implementation. They are temporary R&D flags that can be removed once 2.8 is branched away.","""101-1591: Protecting data in file system (Data caging) , 101 - 7654: Protecting private data (Data caging - part 2) """,,
RD_SECURE_PRIV_DATA,"Flag is in charge of variating the Increment 10 tasks: i.e. moving files to private directories. We need these for 3.0 PF- security implementation. They are temporary R&D flags that can be removed once 2.8 is branched away.","""101-1591: Protecting data in file system (Data caging) , 101 - 7654: Protecting private data (Data caging - part 2) """,,
RD_SENSOR_FW,"RD flag for Sensor FW development","107-24914: Sensor server and sensor API's in S60",,
RD_SIMCHANGED_REMOVED,"A R&D flag for integrating SimChanged DLL into SysAp in release 3.0. Flag will be removed when 2.8 branches",,,
RD_SIND_VIA_AIW,"""RD flag to enable feature """"AIW Consumer for Voice Dialing Info View"""" development.""","107-19742 AIW Consumer for Voice Dialing Info View",,
RD_SLIDESHOW_SCREENSAVER,"Defines whether a set of images can be set as wallpaper. Wallpaper is shown based on user defined value and then changed to a new image in the image set.","107-19602: Slide show screensaver",,
RD_SLIDESHOW_WALLPAPER,"Defines whether a set of images can be set as wallpaper. Wallpaper is shown based on user defined value and then changed to a new image in the image set.","107-19606: Slide show wallpaper",,
RD_SLIDING_ANIMATION_EFFECTS,"""R&D Flag to exclude dialog sliding from other """"animation effects"""".""","""101-15108: Animations and feedback effects, phase 2""",,
RD_SPLIT_VIEW,"RD flag to flag out implementation of Split view.",,,
RD_STARTUP_ANIMATION_CUSTOMIZATION,"""This R&d flag is needed for incorporating """"Startup and shutdown animations customization"""" changes in a controlled manner into S60 releases.""","107-19519: Startup and Shutdown animations customization",,
RD_STARTUP_CHANGE,"This R&D flag defines changes related to start-up.",,,
RD_SUPPORT_SENDUI_API_V2,"This R&D flag defines changes to SendUI API clients.",,,
RD_SVGT_AUDIO_SUPPORT,"RD feature flag for implementing audio playback support in SVG-T engine.","101-19446: SVGT Support for Audio in order to improve content presentation capabilities for Tutorials",,
RD_SVGT_IN_MESSAGING,"SVG-T rendering support in messaging applications",107-1861,,
RD_SVGT_JSR_226_API,"If this feature flag is on then the JSR-226 functionality is available. Otherwise it is not.",,,
RD_SWITCH_TO_VIDEO,"This feature will include possibility in Phone to switch current voice call to video and vice versa.","101-17550 Video Call Access Improvements 'Switch to video' feature",,
RD_SYMBIAN_TRACES,"Enable usage of binary traces in RnD components.","101-36681: Performance hooks for Sensor UC",,
RD_TACTILE_FEEDBACK,"""This R&D flag is needed for implementing """"Tactile feedback"""" feature to S60 5.0.""","""101-31375: Audio and tactile feedback for touch UI403-2673: Tactile feedback migration: UI framework area""",,
RD_TELEPHONY_DEVICE_MODE,"This flag enables the flip (clamshell) and grip (slider) event handling. Devices without this functionality can leave the TelephonyDeviceMode.DLL component out of their builds. ","101-14014: Call audio routing: Device mode event configurability",,
RD_THUMBNAILMANAGER,"""This flag is used for temporarily variating Thumbnail Manager component.  The purpose of Thumbnail Manager is to provide convenient access thumbnail images for media objects (e.g. image and video files). Thumbnail Manager handles both generation and storing of thumbnails. S60 clients: Media Gallery, Media Player.""","101-33302: Common thumbnail manager",,
RD_TOOLBAR_SUPPORT,"R&D Flag to remove 3.1 Toolbar and Generic Buttons",,,
RD_TRACKSTER_MENU,"""Trackster is a generic component, which can be used for various purposes in various applications. The basic idea and the innovation behind the work is to build the behavior based on Bezier curves, which define how the control appears.""","101-20926: New XML UI FW component: Trackter/Wheel",,
RD_TSP_CLIENT_MAPPER,"RD Feature flag for implementing a new TSP solution for platform components which improves a TSP configurability and resolves mapping problems between RemCon and audio clients.","101-38109: Enhanced Accessory Key Event Handling",,
RD_UIFW_3_0_API_CHANGES,"R&D flag for implementing UIFW 3.0 API changes.",,,
RD_UIKON_UNBRANCH,"R&D flag for implementing Uikon unbranch related changes to Series 60 code.","107-5302: UIKON unbranch",,
RD_UI_CONTROL_TRANSPARENCY,"Semi-transparency support in UI controls. This feature relies on Symbian's window transparency support and has no effect if TRANSPARENCY keyword is not defined in WSINI.INI.","107-19701: Enabling UI semi-transparency",,
RD_UI_TRANSITION_EFFECTS_LAYOUT_SWITCH,"Development of transition effects in UI rotation (layoutswitch) use case will be done behind this flag to secure that existing functionality won't suffer regression during implementation.","101-39568: Effects enabled layout switch",,
RD_UI_TRANSITION_EFFECTS_LIST,"This flag will be used to secure that development of list transition effects won't break existing fullscreen and components transition effects.","""101-36834: Effects enabled Application Shell 101-33025: Effects enabled list components""",,
RD_UI_TRANSITION_EFFECTS_PHASE2,"Feature enables early development of 2nd phase UI transition effects.","""101-39398: UI Effects, phase 2""",,
RD_UI_TRANSITION_EFFECTS_POPUPS,"""Development of transition effects in popups (notes, queries, etc) will be done behind this flag to secure that existing functionality won't suffer regression during implementation.""","""101-33776: Effects enabled pop-ups, queries and notifications""",,
RD_UI_ZOOM,"This feature activates the zooming support in Series 60 UI.","RM-RIM: 107-5305: Zooming support in Series 60",,
RD_UNIFIED_EDITOR,"""Unified SMS and MMS Editor,  targetted for release 3.1U""","101-11845: Unified SMS and MMS editor",,
RD_USB_CHARGING,"""This flag affects to the Starter list only. If it is defined, the Starter starts the UsbWatcher.exe in charging mode. The USB Watcher or USB MSC Personality Plug-in code is not variated. ""","HRAN-74BGRC: USBWatcher to Charging startup list",,
RD_USB_HEADSET_SUPPORT,"To enable USB OTG Audio/Hid related code ","""106-811: USB OTG: Audio device class host role for USB headset  101-35207: USB HID support in S60.Chili 107-8379: USB on the go, 1st release""",,
RD_USB_WATCHER_CONFIGURATION_MGMT,"Enables USB Configuration Management.","107-149: USB Configuration Management",,
RD_USE_S60HOSTSTACK,""" Development of USB Audio/HID class drivers has been started using class driver APIs provided by S60 USB host stack. However, PREQ1782 delivers Symbian host stack which will be used in production code instead of S60 host stack. APIs offered by these two stacks are different, and when the class driver code using the S60 host stack APIs is migrated into using the Symbian host stack APIs, the developer needs to be able to switch between the stacks in the same environment.""","""USB HID class driver: 101-35207 USB HID support in S60 Chili  USB Audio class driver: 106-811 USB OTG: Audio device class host role for USB headset  RAC 101-35123: PREQ1782: USB on the go, 1st release """,,
RD_USE_SYMBIAN_SYNCML_CONVERGENCE,"RD flag for development of Symbian version of S60 SyncML engine","107-13420: DS Symbian convergence",,
RD_VIBRA_AND_LIGHT_CHANGE,"This R&D flag defines changes related to vibra and backlight.",,,
RD_VIDEO_AS_RINGING_TONE,"Device allows a video file to be set as a ringing tone.",JOIS-6G6A7S,,
RD_VIDEO_MAILBOX_SUPPORT,"R&D Flag to remove video mailbox support from older than S60 3.1 builds.",105-448,,
RD_VIRTUAL_PHONEBOOK,"Feature flag enables the usage of the Virtual Phonebook APIs.",,,
"RD_VOIP_PRESENCE ","RD flag to enable VOIP presence development","107-25806: EarlyDelivery: S60 IETF/SIP VoIP",,
RD_VOIP_REL_2_2,"RD flag to enable VOIP rel 2.2 development ","107-25806: EarlyDelivery: S60 IETF/SIP VoIP",,
RD_VT_IMAGE_SHARING,"RD flag for implementation of still image sharing.","101-13960 VT: Sharing of still image from local file during video call",,
RD_VT_LONG_SEND_KEY,"""New RD flag for development of """"Long press of send key"""" feature (for Taco) in CCB.""","107-17534: VT: Accessibility improvement: Long press of SEND key",,
RD_WCDMA_CELL_BROADCAST,"""RD flag to enable feature """"WCDMA Cell Broadcast (CBS) support"""" development.""","107-376: WCDMA Cell Broadcast (CBS) support.",,
RD_WFA_ADMISSION_CONTROL,"This flag is needed for managing whether or not to include Wi-Fi Alliance (WFA) admission control to a certain platform/products.","101-33541: Support for WFA Admission Control (TSpec)",,
RD_WLAN_DDK,"""The flag enables WLAN DDK -relatedchanges implemented to wlan ldd -component.""","106-1830: WLAN DDK for S60",,
RD_WLAN_EXPANDED_EAP_TYPES,"This flag enables (or disables) the usage of expanded EAP type codes. Normal (8-bit) EAP type codes are used when the flag is disabled.","101-23228: Support for Wi-Fi Easy Setup",,
RD_WLAN_PROTECTED_SETUP,"This flag enables (or disables) Wi-Fi Protected setup (EAP-WSC, WPS) feature. An active flag requires that expanded EAP type codes are supported.","101-23228: Support for Wi-Fi Easy Setup",,
RD_WMDRM_DLA_ENABLERS,"Flag to develop the requirement '101-28290 Platformization: S60 WMDRM DLA Enablers'","101-28290 Platformization: S60 WMDRM DLA Enablers",,
RD_WOW_GALLERY_EVOLUTION,"RD Feature flag for implementing new  WOW:Gallery/Image Viewer Evolution 3.2 features prior to branching 3.1.","101-13871: WOW: Gallery/Image Viewer Evolution",,
RD_WOW_GALLERY_PREVIEW_POPUP,"In Touch-devices tappping on the popup opens the image.","402-1332: Preview popup in Gallery Grid",,
RD_WOW_GALLERY_REMOVE_TOOLBAR,"Removes Toolbar should from Gallery.","403-2117: Remove toolbar from Gallery",,
RD_WOW_GALLERY_SORTING_VIEWS,"Enable enhanced view sorting in Gallery","101-13871: WOW: Gallery/Image Viewer Evolution",,
RD_WOW_GALLERY_VIDEO_THUMBNAILS,"Enable video thumbnail support in Gallery","101-13871: WOW: Gallery/Image Viewer Evolution",,
RD_XMLUI_2,"R&D Flag to separate XML UI framework phase 2 development work from phase 1.","107-9266: XML UI Framework Phase2",,
RD_XML_ENGINE_API_CHANGE,"RD flag for development of new XML Engine APIs.",,,
__3D_MENU,"3D Menu feature enhances Application Shell with animating 3D icons.","101-1341: 3D Application Shell",KFeatureId3DMenu,1511
__3GP_EXTENTION,"This flag indicates that the 3GP Extention feature is supported in MetadataUtility.","101-13753: WMA playback and additional Metadata support for S60",KFeatureId3GpExtension,1592
__AAC,"Device supports Advanced Audio Coding (AAC) codec.",,KFeatureIdAac,75
__AAC_ENCODER_PLUGIN,"Device supports all-ARM AAC encoding capabilities.","107-3803: 16KHz audio recording",KFeatureIdAacEncoderPlugin,1141
__AAC_PLUS_DECODER_PLUGIN,"Device supports all-ARM AAC+ and Enhanced AAC+ decoding capabilities","101-8206: Enhanced AAC+ playback",KFeatureIdAacPlusDecoderPlugin,1143
__ACCESSORY_FW,"Accessory framework is a Series 60 subsystem that enables adding various accessory types to the platform by licensees.","100-5072: Accessory framework for Series 60",KFeatureIdAccessoryFw,1150
__ACTIVE_IDLE,"""The Active Idle includes several plugins to display different content. Additional feature flags for them will be requested separately as the necessity for them to be optional arises.At the moment this flag will cover all Active Idle mandatory features.""","101-671 Active Idle: phase 1",KFeatureIdActiveIdle,1119
__ALLOW_UPGRADE_HELIX,"""Support for Aftermarket update of Codecs, and File Formats. To allow the helix dlls to be upgraded using a SISX file. ""","""101-36568: Video Engine: Support for Aftermarket update of Codecs, and File Formats""",KFeatureIdAllowUpgradeHelix,1699
__ALWAYS_ONLINE,"""Devices supports Always On-line framework which enables various always-online plug-ins, e.g. Email.""",,KFeatureIdAlwaysOnLine,1078
__ALWAYS_ONLINE_EMAIL,"Device supports keeping mailbox always connected and up to date.",,KFeatureIdAlwaysOnLineEmail,1101
__ALWAYS_ONLINE_PDPCONTEXT,"Flag is used to include always on PDP context plugin binaries to the build.","101-12166: Hutchinson 3G: Permanent PDP context plugin for always-on PDP context for MMS notifications",KFeatureIdAlwaysOnlinePDPContext,1144
__ALWAYS_ONLINE_PDPCONTEXT2,"""Flag is used to include always on PDP context plugin binaries, version 2, to the build.""","107-23367: Always-on implementation for Hutchinson 3 (release 2) in S60",KFeatureIdAlwaysOnlinePDPContext2,1662
__AMR_NB,"Device supports Adaptive Multi-Rate (AMR) narrowband codec.",,KFeatureIdAmrNb,73
__AMR_WB,"Device supports Adaptive Multi-Rate (AMR) wideband codec.",,KFeatureIdAmrWb,74
__APPLICATION_CONTROLLABLE_AUDIO_ROUTING,"""An application UI can control audio routing in addition to adaption layer. If  this feature is off, only the adaptation layer controls the audio routing and the corresponding DOS Plug-in API has to be implemented.""",,KFeatureIdApplicationControllableAudioRouting,8
__APPSHELL_AVKON_UI,"This flag defines if Application Shell should use Avkon architecture in UI implementation instead of XML UI framework (XUIKON). It affects only to Application Shell component.","""107-19385 Configurable Application Shell to 3.1u based on XML UI or AVKON UI.""",KFeatureIdAppshellAvkonUi,1613
__APP_CSD_SUPPORT,"Device supports internal (HS)CSD in application UIs.",,KFeatureIdAppCsdSupport,110
__ARM_AVC,"This feature flag will enable/disable the ability of RealPlayer to playback AVC (H.264) video by including/excluding the AVC codec DLL and AVC Depacketizer DLL in the rom image.",,KFeatureIdArmAvc,1630
__ARM_MDF_H263MPEG4_DEC,"Support for MDF H263 MPEG4 decoder. This decoder is used by MediaPlayer via new helix engine and MDF. Excluded if hardware accelerated decoder is used instead.","102-2985 All-ARM Helix",KFeatureIdArmMdfH263mpeg4Dec,1644
__ARM_MDF_H264_DEC,"Support for MDF H264 decoder. This decoder is used by MediaPlayer via new helix engine and MDF. Excluded if hardware accelerated decoder is used instead.","102-2985 All-ARM Helix",KFeatureIdArmMdfH264Dec,1642
__ARM_MDF_POSTPROCESSOR,"Support for MDF Post processor. Excluded if hardware accelerated post-processing is used instead.","102-2985 All-ARM Helix",KFeatureIdArmMdfPostprocessor,1645
__ARM_MDF_REALVIDEO_DEC,"Support for MDF Realvideo decoder. This decoder is used by MediaPlayer via new helix engine and MDF. Excluded if hardware accelerated decoder is used instead.","102-2985 All-ARM Helix",KFeatureIdArmMdfRealvideoDec,1643
__AT_HANDLER,"Symbian OS side AT Handler is used with Bluetooth Hands Free profile to process and communicate with DOS.",,KFeatureIdAtHandler,223
__AUDIO_AAC,"Deprecated feature flag for Advanced Audio Coding (AAC) codec. Use __AAC  feature instead.",,KFeatureIdAudioAac,1062
__AUDIO_CONTROLLER_STREAMING,"Device supports Audio Controller Streaming feature.",,KFeatureIdAudioControllerStreaming,1591
__AUDIO_EFFECTS_API,"""Device supports utility APIs and framework for Series 60 Audio applications to enable predefined audio effects with audio play/record utilities. Features lilke Volume, Graphical Equalizer, Reverb are possible.""","101-4317 Audio effects",KFeatureIdAudioEffectsApi,497
__AUDIO_MESSAGING,"Flag for Xpress Audio Messaging feature. Device supports recording and sending a sound clip as a MMS message.","107-11778: Xpress audio messaging",KFeatureIdAudioMessaging,1565
__AUDIO_PLAYLIST,"Media Gallery & Player applications support audio file playlist (M3U media queue format). ",22178,KFeatureIdAudioPlaylist,1063
__AUDIO_RESOURCE_INDICATIONS,"Device supports Audio Resource Indications Utility. Applications can use the Audio Resource Indications Utility to request feedack when they can submit a play request.","101-5334: Audio resource indications (Pause-continue -behaviour)",KFeatureIdAudioResourceIndications,499
__AUTO_ACCESSORY_IDENTIFICATION,"Device supports automatic accessory identification.",,KFeatureIdAutoAccessoryIdentification,206
__AVC_DECODER,"Device supports H.264/MPEG4 AVC decoder","101-17691: H.264 video support for video call",KFeatureIdAvcDecoder,1567
__AVC_ENCODER,"Device supports H.264/MPEG4 AVC encoder","101-17691: H.264 video support for video call",KFeatureIdAvcEncoder,1568
__BASIC_LOCATION_INFO_DISPLAY,"Device has basic location info display.","101-12213: Minimal feature set configuration for mid-range",KFeatureIdBasicLocationInfoDisplay,1513
__BASS_BOOST_EFFECT_UI,"""Device supports bass boost, increases Bass frequency response.""","107-11621: Stereo Widening and bass boost UI in Music Player",KFeatureIdBassBoostEffectUi,1673
__BEATNIK_AUDIOENGINE,"""Beatnik Audio engine is the standard, default engine in S60 platform. With this flag, it is possible to variate out Beatnik Audio Engine and uses another midi audio engines.""","101-23639 Removal of Standard Midi Engine",KFeatureIdBeatnikAudioengine,1640
__BLUETOOTHGPSPSY,"""Devices supports Bluetooth based GPS positining. It utilizes bluetooth connection to retrieve location information from wireless GPS device, which supports required Bluethooth profile.  Must always be supported due SDK APIs.""",,KFeatureIdBluetoothGpsPsy,122
__BRANDING_SERVER,"Component enables service provider specific branding in applications.","107-23691: Branding server",KFeatureIdBrandingServer,1657
__BRIGHTNESS_CONTROL,"General settings application supports controlling display brightness.",100-2220,KFeatureIdBrightnessControl,1072
__BROWSER_ADAPTIVE_BOOKMARKS,"Browser application supports additional list of bookmarks that gets generated automatically from visited links.  List is sorted by automatic algorithm which ranks according to combination of most-recently and most-often visited pages. ",100-5868,KFeatureIdBrowserAdaptiveBookm,163
__BROWSER_AUDIO_PLUGIN,"Support for Browser Plugin. Used in deciding whether the browser audio pugin is taken into builds.",,KFeatureIdBrowserAudioPlugin,1122
__BROWSER_FILE_UPLOAD,"""Browser application supports posting a file from the file system to Web server, in addition to """"normal"""" user input.""",100-10404,KFeatureIdBrowserFileUpload,1099
__BROWSER_FRAMES,"Browser aplication support HTML <frame> tags.",100-397,KFeatureIdBrowserFrames,1069
__BROWSER_FULLSCREEN,"Browser application supports expanding the amount of screen space used for browser display.",100-5866,KFeatureIdBrowserFullScr,1066
__BROWSER_NARROW_SCREEN,"Browser application supports Narrow screen rendering. That enables user to read HTML content more easily without a need to scroll horizontally.",100-5867,KFeatureIdBrowserNarrowScreen,1060
__BROWSER_NETSCAPE_API,"Browser application supports Netscape plug-in API.",100-7069,KFeatureIdBrowserNetscapeAPI,1103
__BROWSER_PLUGIN_INTERFACE_PROXY,"The PluginAdapterUtil is a variant DLL that guarantees a common interface for plugins when interfacing with the Browser (PluginAdapter Interface). Proxy interface is used and flag is enabled with Opera browser.",,KFeatureIdBrowserPluginInterfaceProxy,162
__BROWSER_PROGRESS_IND,"""Browser application supports more detailed information of download progress (in addition to """"spinning globe"""")""",100-7066,KFeatureIdBrowserProgressInd,1064
__BROWSER_URL_COMPLETION,"""Browser application supports URL completion. When user manually enters """"go to"""" URL, list of previously-visited links will appear for selection based on matching entered characters.""",100-5869,KFeatureIdBrowserUrlCompletion,165
__BROWSER_VIDEO_PLUGIN,"Support for Browser Plugin. Used in deciding whether the browser video plugin is taken in.","102-3271: Browser: Video Plugin",KFeatureIdBrowserVideoPlugin,1606
__BT,"Device supports Bluetooth.",,KFeatureIdBt,12
__BTIC_BINARIES_CHECK_ENABLED,"""In addition to the SWI certificate store check (defined by __BTIC_ENABLED), also binaries (having TCB or DRM capability) in c: drive are integrity checked during boot.""","107-13260: Configurable integrity check of SWI certificate store and binaries in c: drive during boot",KFeatureIdBticBinariesCheckEnabled,1601
__BTIC_ENABLED,"Device has component that performs integrity check of SWI certificate store in c: drive during boot.","107-13260: Configurable integrity check of SWI certificate store and binaries in c: drive during boot",KFeatureIdBticEnabled,1600
__BT_AUDIO,"Device supports BT handsfree and headset profiles.",,KFeatureIdBtAudio,15
__BT_FAX_PROFILE,"Device supports Bluetooth fax profile.",,KFeatureIdBtFaxProfile,18
__BT_IMAGING_PROFILE,"Device supports bluetooth imaging profile.",,KFeatureIdBtImagingProfile,19
__BT_PAN_PROFILE,"Device support BT PAN profile",,KFeatureIdBtPanProfile,16
__BT_PBAP,"Support for Phone Book Access Profile","106-698: Bluetooth Phone Book Access Profile",KFeatureIdBtPbap,1686
__BT_PRINTING_PROFILE,"Device supports bluetooth printing profile.",,KFeatureIdBtPrintingProfile,20
__BT_SAP,"Bluetooth SIM Access Profile (SAP) allows another device to access the SIM over Bluetooth.","100-8230: Bluetooth Remote SIM Access Profile",KFeatureIdBtSap,222
__BT_STEREO_AUDIO,"Device supports Bluetooth stereo audio.","107-10655  BT Stereo Audio support in S60",KFeatureIdBtStereoAudio,1580
__BT_TEST_MODE,"""When this flag is enabled, the device can be put in the BT test mode. """,,KFeatureIdBtTestMode,224
__CAE_VR_CUSTOM_COMMANDS,"Optimisation flag of the CamCorder for cases where device replaces the default Camcorder plugin. Then this flag must be turned off (#undef) due to performance reasons. ",,KFeatureIdCaeVrCustomCommands,131
__CALL_IMAGETEXT,"""Device supports showing an image, animated GIF or text for an incoming call.""","100-10526: Image/text in Arriving call -situation",KFeatureIdCallImagetext,1503
__CAMERA,"Device has Camera Application.",101-71,KFeatureIdCamera,2
__CAMERA_BURST_MODE,"Camera application supports burst mode. It enables taking several snapshots with one command.",,KFeatureIdCameraBurstMode,132
__CAMERA_FULLSCREEN_VIEWFINDER,"""Flag enables full screen mode in camera application. Full screen is supported only in landscape mode. If hardware is not supporting landscape mode this flag should be set off.""","101-12525: Full screen view finder",KFeatureIdCameraFullscreenViewfinder,1607
__CAMERA_LENS_COVER,"The flag defines is the camera lens cover is supported by the HW.","error  PEJA-5ZHETE",KFeatureIdCameraLensCover,209
__CAMERA_LOCATION_SUPPORT,"Enables Camera Application support for geotagging.",417-2664,KFeatureIdCameraLocationSupport,158
__CDMA_CHANNEL_LISTING,"""Media player supports Channel Listing Mode.Channel Listing  is a method of content presentation. Content will be displayed as a list of channels the user can choose from. The device will make a request for the channel listing each time the multimedia application is invoked.""","103-353: CDMA: Multimedia: Media Player",KFeatureIdCdmaChannelListing,1121
__CDMA_EXTENDED_AMS,"Device supports Sprint extensions to Application Management System (AMS). Applicable only to CDMA devices",,KFeatureIdCdmaExtendedAms,87
__CDMA_FAST_DORMANT,"This is used to add the Fast Dormant daemon to the image at creation time and could also be used in the custom TSY to add the additional calls.","""103-1114: CDMA: Mobile Originated Fast Dormant""""""",KFeatureIdCdmaFastDormant,290
__CDMA_IOTA,"""Device supports Internet Over The Air (IOTA), applicable only to CDMA devices. This feature enables over the air provisioning of mobile devices using HTTP.""",,KFeatureIdCdmaIota,86
__CELL_BROADCAST,"Device supports Cell Broadcast feature (CBS).",,KFeatureIdCellBroadcast,1090
__CHATNG,"""The new IM UI Application (called IM UI NG, NG = New Generation)""","107-13871: IM UI facelift",KFeatureIdChatNG,1650
__COMMDB_PROTECTION,"Device prevents transferring CommDb outside of the phone. ","107-8140: Charlie i-mode: EU&DCM: Backup limitation",KFeatureIdCommDBProtection,1507
__COMMON_DSY,"When this flag is enabled it Common DSY component is included.","101-873: Two-layer DSY implementation",KFeatureIdCommonDsy,297
__COMMON_TSY,"When this flag is enabled it Common TSY component is included.",,KFeatureIdCommonTsy,293
__COMMON_TSY__EMERGENCY_CALLS_ENABLED_IN_OFFLINE_MODE,"When this flag is enabled it is possible to dial an emergency call even when the off-line mode is on.",,KFeatureIdCommonTsyEmergencyCallsEnabledInOfflineMode,294
__CONNMON_EXTENSION,"Defines whether the Connection Monitor Extension API is used.",,KFeatureIdConnMonExtension,108
__CONNMON_UI,"Device supports connection monitoring UI.",,KFeatureIdConnMonUI,1105
__CONTENT_DOWNLOAD,"Device supports OMA content download.","107-8142: Charlie i-mode: EU&DCM: Content download variation capability",KFeatureIdContentDownload,1504
__COVER_DISPLAY,"Device has also separate cover display in addition to the main display.",,KFeatureIdCoverDisplay,3
__CS_VIDEO_TELEPHONY,"Device supports circuit switched video telephony",,KFeatureIdCsVideoTelephony,89
__CUSTOMISED_RFS,"""This flag enables customised RFS, that does not automatically erase content of user area image.""",,KFeatureIdCustomisedRFS,1670
__DEFAULT_CONNECTION,"Initial connection selection enables automatic 'usage of default destination groups (like Internet) instead of single IAPs when starting network connections. Deprecated in 5.0.","101-30139: Partial ALR support: Initial connection selection for S60 3.2 ap",KFeatureIdDefaultConnection,1693
__DHCP,"Device supports Dynamic Host Configuration Protocol (DHCP).",,KFeatureIdDHCP,107
__DIALUP_NETWORKING,"""The feature enables device to support Dial-up Networking service (Bluetooth, IrDA or USB).""",,KFeatureIdDialupNetworking,1660
__DISPLAY_POST,"The flag allows to choose between built-in Display Post implementation or an external Display Post module.","101-13298: TV-Out support in RealPlayer",KFeatureIdDisplayPost,1610
__DPB,"Device has Presence Enhanced Contacts application",,KFeatureIdDpb,32
__DRIVE_MODE,"This flag enables drive mode profile. The profile is silent and unmodifiable. In this profile the phone refuses to receive calls.","101-9956: Charlie i-mode: DCM Only: Supplementary Service: Drive mode",KFeatureIdDriveMode,1412
__DRM,"""Device supports OMA Digital Rights Management (DRM) partially, only forward lock is supported""",,KFeatureIdDrm,91
__DRM_CLOCK,"""DRM clock is a new clock type that is used with DRM interval and datetime based constraints. It uses NITZ (other solutions can be studied) to get the network time and uses that to determine if the time constrained content can be rendered or not. This enables the content providers to sell content twice e.g. first for a short period of time and after that (assumed user lock in) for 2nd time with full usage rights.The user shall still have control over the normal clock of the device, but setting of that clock shall not have effect to the DRM clock. If NITZ is not available, user defined clock is used.""","100-10653: DRM clock",KFeatureIdDrmClock,96
__DRM_FULL,"""Device supports OMA Digital Rights Management (DRM) fully. Includes forward lock, combined delivery, separate delivery and super-distribution""",,KFeatureIdDrmFull,93
__DRM_OMA2,"This feature flag is used to indicate whether OMA DRM standard version 2 is enabled.","107-145: OMA DRM Version 2: Base Services",KFeatureIdDrmOma2,98
__DRM_PHASE2,"This feature flag is used with OMA DRM standard version 2 (Phase2) features.",,KFeatureIdDrmPhase2,95
__DRM_USER_DATA_TRANSFER,"""There must be possibility to transfer downloaded applications and other DRM content to the swap phone in a service point through service software.UDT makes it possible to transfer user's valuable content and Rights DB containig Rights objects for DRM content to another phone (containing same functionality) e.g. in warranty cases.""","100-10031: Transfer of downloaded applications and DRM content to swap phone",KFeatureIdDrmUserDataTransfer,97
__DYNAMIC_PROFILES,"Profiles application supports user to add new / delete old profiles.",,KFeatureIdDynamicProfiles,1056
__EDGE_KNOWLEDGE,"This flag defines whether the information of current radio link using EDGE is available through Connection Monitor component.",,KFeatureIdEdgeKnowledge,104
__EDIT_KEY,"The device has edit key","101-12197: Edit key made optional",KFeatureIdEditKey,1672
__EMAIL_OVER_SMS,"Device supports sending email messages using SMS as the bearer transport.",,KFeatureIdEmailOverSms,1092
